Emiten,Hari Ke-+,Proyeksi RFR (Rp),Proyeksi LSTM (Rp)
ICBP,1,7138.46,7189.03
ICBP,2,7152.66,7248.62
ICBP,3,7150.81,7262.55
ICBP,4,7157.83,7242.04
ICBP,5,7166.56,7232.55
ICBP,6,7155.09,7227.33
ICBP,7,7142.14,7219.07
ICBP,8,7129.28,7208.41
ICBP,9,7121.75,7173.53
ICBP,10,7118.87,7143.87
ICBP,11,7115.88,7131.65
ICBP,12,7122.47,7119.91
ICBP,13,7128.28,7121.38
ICBP,14,7114.43,7127.62
ICBP,15,7093.82,7127.5
ICBP,16,7108.32,7130.7
ICBP,17,7101.93,7149.93
ICBP,18,7099.39,7188.76
ICBP,19,7094.95,7237.43
ICBP,20,7102.59,7278.77
ICBP,21,7124.99,7308.3
ICBP,22,7136.98,7335.84
ICBP,23,7120.65,7364.77
ICBP,24,7112.78,7374.83
ICBP,25,7101.98,7360.13
ICBP,26,7095.51,7350.8
ICBP,27,7084.22,7344.34
ICBP,28,7054.92,7338.41
ICBP,29,6977.52,7323.96
ICBP,30,6976.15,7303.02
INDF,1,6619.1,6718.43
INDF,2,6618.24,6752.31
INDF,3,6613.6,6766.56
INDF,4,6612.85,6777.31
INDF,5,6593.23,6766.11
INDF,6,6590.92,6787.25
INDF,7,6593.72,6786.98
INDF,8,6600.64,6783.78
INDF,9,6607.02,6784.93
INDF,10,6609.78,6780.94
INDF,11,6611.18,6790.12
INDF,12,6620.86,6799.07
INDF,13,6606.26,6810.75
INDF,14,6604.47,6820.41
INDF,15,6603.32,6836.4
INDF,16,6616.57,6846.62
INDF,17,6620.67,6863.73
INDF,18,6616.8,6898.62
INDF,19,6604.04,6964.43
INDF,20,6582.61,7034.75
INDF,21,6565.71,7117.32
INDF,22,6529.56,7200.77
INDF,23,6513.32,7286.3
INDF,24,6475.82,7372.68
INDF,25,6408.56,7451.58
INDF,26,6323.84,7517.47
INDF,27,6259.26,7567.27
INDF,28,6183.17,7601.3
INDF,29,6122.18,7622.72
INDF,30,6114.04,7635.42
MYOR,1,1805.8,1822.55
MYOR,2,1805.22,1826.57
MYOR,3,1805.63,1828.54
MYOR,4,1803.09,1829.52
MYOR,5,1796.34,1830.44
MYOR,6,1797.25,1836.11
MYOR,7,1796.91,1850.69
MYOR,8,1792.38,1857.07
MYOR,9,1787.1,1859.45
MYOR,10,1789.5,1864.89
MYOR,11,1785.71,1863.47
MYOR,12,1780.44,1867.97
MYOR,13,1776.14,1873.86
MYOR,14,1772.04,1887.07
MYOR,15,1764.11,1915.04
MYOR,16,1759.73,1941.25
MYOR,17,1753.26,1966.28
MYOR,18,1749.7,1989.39
MYOR,19,1744.93,2010.51
MYOR,20,1747.44,2029.14
MYOR,21,1750.53,2046.35
MYOR,22,1755.02,2061.79
MYOR,23,1763.13,2075.63
MYOR,24,1772.85,2088.08
MYOR,25,1770.02,2099.37
MYOR,26,1766.51,2109.56
MYOR,27,1762.91,2119.12
MYOR,28,1760.37,2128.1
MYOR,29,1758.65,2136.69
MYOR,30,1753.93,2145.08
CMRY,1,4762.32,4777.76
CMRY,2,4798.11,4801.81
CMRY,3,4761.26,4835.32
CMRY,4,4745.41,4877.67
CMRY,5,4723.05,4902.24
CMRY,6,4717.39,4942.74
CMRY,7,4710.84,4993.56
CMRY,8,4706.06,5048.99
CMRY,9,4694.57,5117.49
CMRY,10,4682.83,5198.78
CMRY,11,4692.93,5297.15
CMRY,12,4706.27,5388.18
CMRY,13,4723.87,5454.72
CMRY,14,4714.4,5493.31
CMRY,15,4679.62,5521.06
CMRY,16,4683.68,5557.7
CMRY,17,4726.92,5607.89
CMRY,18,4760.66,5671.73
CMRY,19,4764.63,5745.07
CMRY,20,4752.51,5822.35
CMRY,21,4748.59,5897.17
CMRY,22,4736.55,5965.8
CMRY,23,4725.32,6028.54
CMRY,24,4738.81,6088.29
CMRY,25,4729.74,6148.52
CMRY,26,4738.99,6211.75
CMRY,27,4728.57,6279.01
CMRY,28,4733.77,6349.85
CMRY,29,4726.82,6422.97
CMRY,30,4726.2,6496.86
ULTJ,1,1492.97,1491.31
ULTJ,2,1486.09,1484.67
ULTJ,3,1484.47,1477.48
ULTJ,4,1501.82,1469.29
ULTJ,5,1502.76,1462.48
ULTJ,6,1504.47,1456.1
ULTJ,7,1506.22,1449.71
ULTJ,8,1507.94,1443.03
ULTJ,9,1505.15,1436.98
ULTJ,10,1498.54,1429.97
ULTJ,11,1494.97,1423.15
ULTJ,12,1492.79,1416.93
ULTJ,13,1490.81,1410.99
ULTJ,14,1487.5,1405.07
ULTJ,15,1486.42,1398.79
ULTJ,16,1483.65,1392.14
ULTJ,17,1486.32,1385.11
ULTJ,18,1486.76,1377.74
ULTJ,19,1486.34,1370.18
ULTJ,20,1486.46,1362.24
ULTJ,21,1484.91,1353.97
ULTJ,22,1483.46,1345.55
ULTJ,23,1491.98,1337.19
ULTJ,24,1491.32,1329.09
ULTJ,25,1486.29,1321.28
ULTJ,26,1483.35,1313.76
ULTJ,27,1489.64,1306.54
ULTJ,28,1494.07,1299.62
ULTJ,29,1489.6,1292.97
ULTJ,30,1491.24,1286.54
