Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Jun 2, 2026;4,820.00;4,820.00;4,520.00;4,790.00;4,790.00;3,681,600
May 29, 2026;4,400.00;4,830.00;4,400.00;4,830.00;4,830.00;4,229,300
May 28, 2026;4,400.00;4,400.00;4,400.00;4,400.00;4,400.00;-
May 27, 2026;4,400.00;4,400.00;4,400.00;4,400.00;4,400.00;-
May 26, 2026;4,640.00;4,640.00;4,310.00;4,400.00;4,400.00;3,147,600
May 25, 2026;4,510.00;4,580.00;4,410.00;4,480.00;4,480.00;1,873,200
May 22, 2026;4,620.00;4,620.00;4,500.00;4,520.00;4,520.00;1,179,600
May 21, 2026;4,600.00;4,660.00;4,580.00;4,620.00;4,620.00;2,903,500
May 20, 2026;4,530.00;4,680.00;4,530.00;4,600.00;4,600.00;2,521,500
May 19, 2026;4,600.00;4,650.00;4,540.00;4,600.00;4,600.00;2,543,300
May 18, 2026;4,700.00;4,720.00;4,600.00;4,600.00;4,600.00;4,350,900
May 15, 2026;4,710.00;4,710.00;4,710.00;4,710.00;4,710.00;-
May 14, 2026;4,710.00;4,710.00;4,710.00;4,710.00;4,710.00;-
May 13, 2026;4,750.00;4,770.00;4,590.00;4,710.00;4,710.00;1,592,100
May 12, 2026;4,710.00;4,780.00;4,650.00;4,740.00;4,740.00;2,259,000
May 11, 2026;4,750.00;4,790.00;4,640.00;4,710.00;4,710.00;2,243,800
May 8, 2026;4,940.00;4,940.00;4,730.00;4,760.00;4,760.00;945
May 7, 2026;4,870.00;4,950.00;4,850.00;4,950.00;4,950.00;2,882,400
May 6, 2026;4,720.00;4,930.00;4,660.00;4,870.00;4,870.00;5,351,500
May 5, 2026;4,470.00;4,730.00;4,380.00;4,700.00;4,700.00;4,214,700
May 4, 2026;4,310.00;4,550.00;4,200.00;4,470.00;4,470.00;7,080,700
Apr 30, 2026;4,610.00;4,610.00;4,240.00;4,240.00;4,240.00;13,037,200
Apr 29, 2026;4,600.00;4,630.00;4,500.00;4,620.00;4,620.00;2,751,900
Apr 28, 2026;4,540.00;4,550.00;4,490.00;4,550.00;4,550.00;3,747,800
Apr 27, 2026;4,520.00;4,610.00;4,490.00;4,500.00;4,500.00;4,209,900
Apr 24, 2026;4,630.00;4,680.00;4,490.00;4,500.00;4,500.00;4,188,400
Apr 23, 2026;4,580.00;4,680.00;4,580.00;4,630.00;4,630.00;4,666,700
Apr 22, 2026;4,630.00;4,670.00;4,530.00;4,560.00;4,560.00;5,201,100
Apr 21, 2026;4,610.00;4,700.00;4,550.00;4,630.00;4,630.00;3,591,000
Apr 20, 2026;100 Dividend ;;;;;
;Dividends on any given ex-date include regular and any special dividends;;;;;
Apr 20, 2026;4,630.00;4,720.00;4,540.00;4,580.00;4,580.00;4,735,600
Apr 17, 2026;4,570.00;4,710.00;4,540.00;4,650.00;4,550.00;3,978,600
Apr 16, 2026;4,550.00;4,570.00;4,500.00;4,540.00;4,442.37;1,347,000
Apr 15, 2026;4,530.00;4,590.00;4,490.00;4,550.00;4,452.15;3,648,700
Apr 14, 2026;4,500.00;4,550.00;4,490.00;4,520.00;4,422.80;3,647,900
Apr 13, 2026;4,470.00;4,500.00;4,400.00;4,480.00;4,383.66;2,897,100
Apr 10, 2026;4,470.00;4,570.00;4,400.00;4,470.00;4,373.87;4,314,900
Apr 9, 2026;4,480.00;4,480.00;4,380.00;4,450.00;4,354.30;1,687,900
Apr 8, 2026;4,530.00;4,550.00;4,450.00;4,480.00;4,383.66;3,351,200
Apr 7, 2026;4,400.00;4,440.00;4,360.00;4,390.00;4,295.59;476,4
Apr 6, 2026;4,430.00;4,430.00;4,310.00;4,380.00;4,285.81;1,588,300
Apr 2, 2026;4,570.00;4,580.00;4,420.00;4,420.00;4,324.95;1,301,900
Apr 1, 2026;4,400.00;4,570.00;4,340.00;4,500.00;4,403.23;3,241,700
Mar 31, 2026;4,350.00;4,380.00;4,270.00;4,340.00;4,246.67;2,222,400
Mar 30, 2026;4,380.00;4,390.00;4,290.00;4,320.00;4,227.10;3,455,000
Mar 27, 2026;4,350.00;4,430.00;4,260.00;4,430.00;4,334.73;7,855,000
Mar 26, 2026;4,450.00;4,450.00;4,300.00;4,350.00;4,256.45;3,948,600
Mar 25, 2026;4,550.00;4,550.00;4,340.00;4,430.00;4,334.73;7,547,500
Mar 17, 2026;4,550.00;4,620.00;4,510.00;4,600.00;4,501.08;8,844,100
Mar 16, 2026;4,430.00;4,570.00;4,300.00;4,510.00;4,413.01;4,104,800
Mar 13, 2026;4,550.00;4,550.00;4,430.00;4,430.00;4,334.73;2,157,000
Mar 12, 2026;4,530.00;4,610.00;4,430.00;4,560.00;4,461.94;3,905,700
Mar 11, 2026;4,540.00;4,560.00;4,420.00;4,550.00;4,452.15;8,729,700
Mar 10, 2026;4,490.00;4,590.00;4,420.00;4,530.00;4,432.58;6,711,000
Mar 9, 2026;4,600.00;4,700.00;4,410.00;4,470.00;4,373.87;6,269,300
Mar 6, 2026;4,820.00;4,840.00;4,650.00;4,720.00;4,618.49;5,885,800
Mar 5, 2026;4,700.00;4,900.00;4,540.00;4,810.00;4,706.56;5,947,500
Mar 4, 2026;4,830.00;4,930.00;4,500.00;4,690.00;4,589.14;10,061,100
Mar 3, 2026;5,125.00;5,175.00;4,810.00;4,830.00;4,726.13;9,880,800
Mar 2, 2026;5,150.00;5,200.00;4,990.00;5,100.00;4,990.32;9,747,000
Feb 27, 2026;5,150.00;5,275.00;5,150.00;5,175.00;5,063.71;4,891,100
Feb 26, 2026;5,300.00;5,300.00;5,075.00;5,150.00;5,039.25;4,650,200
Feb 25, 2026;5,200.00;5,350.00;5,200.00;5,300.00;5,186.02;3,186,800
Feb 24, 2026;5,275.00;5,325.00;5,200.00;5,200.00;5,088.17;2,199,700
Feb 23, 2026;5,325.00;5,350.00;5,275.00;5,300.00;5,186.02;1,047,700
Feb 20, 2026;5,350.00;5,400.00;5,325.00;5,325.00;5,210.48;1,303,500
Feb 19, 2026;5,400.00;5,450.00;5,325.00;5,350.00;5,234.95;2,325,100
Feb 18, 2026;5,425.00;5,500.00;5,250.00;5,400.00;5,283.87;3,242,900
Feb 13, 2026;5,250.00;5,450.00;5,250.00;5,400.00;5,283.87;4,292,700
Feb 12, 2026;5,425.00;5,500.00;5,225.00;5,400.00;5,283.87;5,730,600
Feb 11, 2026;5,750.00;5,750.00;5,425.00;5,425.00;5,308.33;9,362,000
Feb 10, 2026;5,825.00;5,825.00;5,650.00;5,750.00;5,626.34;1,792,200
Feb 9, 2026;5,650.00;5,850.00;5,600.00;5,825.00;5,699.73;1,460,500
Feb 6, 2026;5,525.00;5,775.00;5,425.00;5,600.00;5,479.57;4,023,500
Feb 5, 2026;5,400.00;5,600.00;5,400.00;5,525.00;5,406.18;934
Feb 4, 2026;5,500.00;5,600.00;5,375.00;5,400.00;5,283.87;2,861,500
Feb 3, 2026;5,425.00;5,525.00;5,250.00;5,500.00;5,381.72;2,916,400
Feb 2, 2026;5,150.00;5,500.00;5,125.00;5,375.00;5,259.41;5,753,800
Jan 30, 2026;5,050.00;5,225.00;5,000.00;5,100.00;4,990.32;7,370,700
Jan 29, 2026;5,250.00;5,500.00;4,920.00;5,050.00;4,941.40;12,332,000
Jan 28, 2026;5,200.00;5,525.00;5,150.00;5,350.00;5,234.95;4,814,300
Jan 27, 2026;5,475.00;5,600.00;5,200.00;5,350.00;5,234.95;5,365,000
Jan 26, 2026;5,250.00;5,575.00;5,150.00;5,475.00;5,357.26;4,544,100
Jan 23, 2026;5,250.00;5,300.00;5,150.00;5,250.00;5,137.10;930,9
Jan 22, 2026;5,150.00;5,300.00;5,150.00;5,200.00;5,088.17;2,795,400
Jan 21, 2026;5,175.00;5,200.00;5,075.00;5,150.00;5,039.25;852,2
Jan 20, 2026;5,175.00;5,225.00;5,125.00;5,175.00;5,063.71;2,244,100
Jan 19, 2026;5,225.00;5,275.00;5,150.00;5,175.00;5,063.71;1,455,100
Jan 15, 2026;5,350.00;5,350.00;5,225.00;5,225.00;5,112.63;989,6
Jan 14, 2026;5,350.00;5,425.00;5,200.00;5,350.00;5,234.95;2,271,000
Jan 13, 2026;5,300.00;5,425.00;5,250.00;5,350.00;5,234.95;1,364,700
Jan 12, 2026;5,375.00;5,375.00;5,150.00;5,300.00;5,186.02;2,261,500
Jan 9, 2026;5,300.00;5,375.00;5,225.00;5,375.00;5,259.41;1,633,700
Jan 8, 2026;5,350.00;5,450.00;5,325.00;5,375.00;5,259.41;368,7
Jan 7, 2026;5,550.00;5,550.00;5,325.00;5,350.00;5,234.95;2,748,300
