Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Jul 23, 2026;7,075.00;7,125.00;7,025.00;7,125.00;7,125.00;5,277,300
Jul 22, 2026;7,000.00;7,100.00;6,975.00;7,075.00;7,075.00;4,595,100
Jul 21, 2026;6,950.00;7,025.00;6,850.00;7,000.00;7,000.00;3,888,200
Jul 20, 2026;6,850.00;6,950.00;6,850.00;6,900.00;6,900.00;3,538,400
Jul 17, 2026;6,775.00;6,850.00;6,625.00;6,850.00;6,850.00;3,779,700
Jul 16, 2026;6,625.00;6,700.00;6,600.00;6,700.00;6,700.00;1,186,500
Jul 15, 2026;6,650.00;6,650.00;6,600.00;6,600.00;6,600.00;1,502,200
Jul 14, 2026;6,625.00;6,675.00;6,575.00;6,650.00;6,650.00;2,030,800
Jul 13, 2026;6,650.00;6,675.00;6,575.00;6,625.00;6,625.00;1,627,400
Jul 10, 2026;6,675.00;6,675.00;6,600.00;6,650.00;6,650.00;1,048,800
Jul 9, 2026;6,625.00;6,675.00;6,575.00;6,675.00;6,675.00;2,586,500
Jul 8, 2026;6,725.00;6,750.00;6,625.00;6,625.00;6,625.00;1,316,000
Jul 7, 2026;265 Dividend ;;;;;
;Dividends on any given ex-date include regular and any special dividends;;;;;
Jul 7, 2026;6,850.00;6,850.00;6,675.00;6,725.00;6,725.00;1,799,300
Jul 6, 2026;6,950.00;7,000.00;6,900.00;6,925.00;6,660.00;2,710,500
Jul 3, 2026;6,750.00;7,050.00;6,750.00;6,950.00;6,684.04;4,350,800
Jul 2, 2026;6,800.00;6,800.00;6,725.00;6,750.00;6,491.70;1,095,800
Jul 1, 2026;6,800.00;6,850.00;6,750.00;6,800.00;6,539.78;4,211,000
Jun 30, 2026;6,650.00;6,875.00;6,550.00;6,800.00;6,539.78;8,402,500
Jun 29, 2026;6,800.00;6,875.00;6,625.00;6,650.00;6,395.52;3,793,300
Jun 26, 2026;6,725.00;6,725.00;6,550.00;6,600.00;6,347.44;1,870,300
Jun 25, 2026;6,500.00;6,825.00;6,475.00;6,725.00;6,467.65;5,717,300
Jun 24, 2026;6,600.00;6,700.00;6,450.00;6,500.00;6,251.26;3,799,500
