Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Jun 2, 2026;6,925.00;6,925.00;6,600.00;6,600.00;6,600.00;7,296,200
May 29, 2026;6,825.00;7,050.00;6,750.00;6,925.00;6,925.00;37,316,900
May 28, 2026;6,825.00;6,825.00;6,825.00;6,825.00;6,825.00;-
May 27, 2026;6,825.00;6,825.00;6,825.00;6,825.00;6,825.00;-
May 26, 2026;6,950.00;6,950.00;6,775.00;6,825.00;6,825.00;13,244,900
May 25, 2026;6,700.00;6,975.00;6,700.00;6,950.00;6,950.00;8,238,700
May 22, 2026;6,750.00;6,750.00;6,575.00;6,725.00;6,725.00;2,979,100
May 21, 2026;6,600.00;6,825.00;6,600.00;6,750.00;6,750.00;11,456,400
May 20, 2026;6,650.00;6,750.00;6,525.00;6,600.00;6,600.00;11,119,500
May 19, 2026;6,750.00;6,750.00;6,600.00;6,650.00;6,650.00;6,597,300
May 18, 2026;6,800.00;6,825.00;6,675.00;6,725.00;6,725.00;9,733,400
May 15, 2026;6,825.00;6,825.00;6,825.00;6,825.00;6,825.00;-
May 14, 2026;6,825.00;6,825.00;6,825.00;6,825.00;6,825.00;-
May 13, 2026;6,975.00;6,975.00;6,775.00;6,825.00;6,825.00;7,820,400
May 12, 2026;6,950.00;6,975.00;6,900.00;6,975.00;6,975.00;5,254,700
May 11, 2026;6,950.00;7,000.00;6,800.00;6,925.00;6,925.00;8,963,200
May 8, 2026;7,125.00;7,150.00;6,875.00;6,975.00;6,975.00;6,743,500
May 7, 2026;7,050.00;7,175.00;7,000.00;7,125.00;7,125.00;11,398,100
May 6, 2026;6,950.00;7,050.00;6,925.00;7,050.00;7,050.00;8,219,400
May 5, 2026;7,000.00;7,000.00;6,950.00;6,950.00;6,950.00;6,591,100
May 4, 2026;6,825.00;7,025.00;6,825.00;6,950.00;6,950.00;11,508,000
Apr 30, 2026;6,900.00;6,975.00;6,750.00;6,750.00;6,750.00;12,872,200
Apr 29, 2026;6,850.00;6,975.00;6,825.00;6,850.00;6,850.00;5,758,000
Apr 28, 2026;6,900.00;6,925.00;6,750.00;6,825.00;6,825.00;12,570,200
Apr 27, 2026;6,900.00;6,925.00;6,825.00;6,900.00;6,900.00;4,716,400
Apr 24, 2026;7,000.00;7,000.00;6,825.00;6,900.00;6,900.00;9,547,700
Apr 23, 2026;7,025.00;7,050.00;6,950.00;6,975.00;6,975.00;9,401,600
Apr 22, 2026;7,000.00;7,025.00;6,950.00;7,025.00;7,025.00;8,697,100
Apr 21, 2026;6,925.00;7,000.00;6,875.00;7,000.00;7,000.00;8,007,700
Apr 20, 2026;6,975.00;6,975.00;6,900.00;6,925.00;6,925.00;7,789,700
Apr 17, 2026;6,975.00;7,000.00;6,925.00;6,975.00;6,975.00;8,501,300
Apr 16, 2026;6,900.00;7,000.00;6,875.00;6,975.00;6,975.00;13,791,900
Apr 15, 2026;6,850.00;6,900.00;6,800.00;6,825.00;6,825.00;12,647,200
Apr 14, 2026;6,750.00;6,850.00;6,725.00;6,825.00;6,825.00;11,118,600
Apr 13, 2026;6,700.00;6,750.00;6,625.00;6,750.00;6,750.00;11,177,700
Apr 10, 2026;6,625.00;6,700.00;6,600.00;6,700.00;6,700.00;11,637,300
Apr 9, 2026;6,650.00;6,675.00;6,575.00;6,600.00;6,600.00;17,733,300
Apr 8, 2026;6,625.00;6,700.00;6,600.00;6,650.00;6,650.00;12,894,700
Apr 7, 2026;6,600.00;6,650.00;6,525.00;6,575.00;6,575.00;11,285,700
Apr 6, 2026;6,600.00;6,650.00;6,500.00;6,575.00;6,575.00;11,555,400
Apr 2, 2026;6,575.00;6,625.00;6,525.00;6,625.00;6,625.00;17,333,500
Apr 1, 2026;6,375.00;6,575.00;6,275.00;6,575.00;6,575.00;20,919,900
Mar 31, 2026;6,075.00;6,400.00;6,075.00;6,350.00;6,350.00;34,136,900
Mar 30, 2026;5,925.00;6,000.00;5,900.00;5,950.00;5,950.00;10,150,600
Mar 27, 2026;6,075.00;6,100.00;5,975.00;5,975.00;5,975.00;9,763,500
Mar 26, 2026;6,050.00;6,150.00;6,025.00;6,075.00;6,075.00;11,366,700
Mar 25, 2026;6,050.00;6,075.00;5,900.00;6,025.00;6,025.00;36,909,800
Mar 17, 2026;6,000.00;6,025.00;5,950.00;5,975.00;5,975.00;11,855,500
Mar 16, 2026;5,975.00;6,050.00;5,900.00;5,975.00;5,975.00;15,644,300
Mar 13, 2026;6,050.00;6,075.00;5,900.00;5,900.00;5,900.00;12,186,300
Mar 12, 2026;6,050.00;6,050.00;5,925.00;6,050.00;6,050.00;21,623,200
Mar 11, 2026;6,050.00;6,100.00;6,000.00;6,025.00;6,025.00;10,903,300
Mar 10, 2026;6,200.00;6,200.00;5,975.00;6,000.00;6,000.00;24,380,900
Mar 9, 2026;6,125.00;6,150.00;6,025.00;6,050.00;6,050.00;18,757,800
Mar 6, 2026;6,300.00;6,350.00;6,200.00;6,275.00;6,275.00;25,222,700
Mar 5, 2026;6,200.00;6,300.00;6,125.00;6,225.00;6,225.00;17,643,600
Mar 4, 2026;6,400.00;6,425.00;6,125.00;6,125.00;6,125.00;43,486,700
Mar 3, 2026;6,450.00;6,500.00;6,375.00;6,400.00;6,400.00;18,791,500
Mar 2, 2026;6,400.00;6,525.00;6,350.00;6,400.00;6,400.00;44,951,600
Feb 27, 2026;6,600.00;6,700.00;6,450.00;6,450.00;6,450.00;290,204,300
Feb 26, 2026;6,600.00;6,725.00;6,575.00;6,725.00;6,725.00;24,736,800
Feb 25, 2026;6,550.00;6,675.00;6,550.00;6,575.00;6,575.00;25,622,600
Feb 24, 2026;6,675.00;6,700.00;6,600.00;6,600.00;6,600.00;26,059,800
Feb 23, 2026;6,650.00;6,700.00;6,650.00;6,650.00;6,650.00;18,992,200
Feb 20, 2026;6,700.00;6,750.00;6,650.00;6,650.00;6,650.00;14,729,900
Feb 19, 2026;6,750.00;6,825.00;6,725.00;6,725.00;6,725.00;11,967,400
Feb 18, 2026;6,700.00;6,775.00;6,675.00;6,750.00;6,750.00;7,616,100
Feb 13, 2026;6,750.00;6,775.00;6,675.00;6,675.00;6,675.00;13,926,900
Feb 12, 2026;6,725.00;6,800.00;6,700.00;6,775.00;6,775.00;13,363,300
Feb 11, 2026;6,700.00;6,800.00;6,700.00;6,700.00;6,700.00;44,043,400
Feb 10, 2026;6,875.00;7,000.00;6,825.00;6,900.00;6,900.00;8,380,100
Feb 9, 2026;6,900.00;6,900.00;6,800.00;6,825.00;6,825.00;8,702,900
Feb 6, 2026;6,975.00;7,000.00;6,850.00;6,850.00;6,850.00;10,579,300
Feb 5, 2026;7,050.00;7,150.00;7,000.00;7,000.00;7,000.00;10,782,800
Feb 4, 2026;7,175.00;7,200.00;7,000.00;7,050.00;7,050.00;13,541,400
Feb 3, 2026;7,025.00;7,275.00;6,950.00;7,200.00;7,200.00;18,698,500
Feb 2, 2026;6,825.00;7,025.00;6,725.00;7,025.00;7,025.00;17,102,800
Jan 30, 2026;6,775.00;6,850.00;6,750.00;6,800.00;6,800.00;15,374,100
Jan 29, 2026;6,800.00;6,850.00;6,200.00;6,775.00;6,775.00;38,464,300
Jan 28, 2026;6,750.00;6,850.00;6,625.00;6,850.00;6,850.00;29,694,200
Jan 27, 2026;6,800.00;6,800.00;6,700.00;6,700.00;6,700.00;17,356,900
Jan 26, 2026;6,825.00;6,825.00;6,750.00;6,800.00;6,800.00;9,878,400
Jan 23, 2026;6,800.00;6,825.00;6,725.00;6,825.00;6,825.00;7,862,000
Jan 22, 2026;6,700.00;6,800.00;6,700.00;6,750.00;6,750.00;8,856,900
Jan 21, 2026;6,700.00;6,750.00;6,600.00;6,700.00;6,700.00;11,404,500
Jan 20, 2026;6,775.00;6,825.00;6,700.00;6,700.00;6,700.00;12,443,600
Jan 19, 2026;6,750.00;6,825.00;6,725.00;6,825.00;6,825.00;10,624,000
Jan 15, 2026;6,700.00;6,800.00;6,700.00;6,750.00;6,750.00;6,184,100
Jan 14, 2026;6,700.00;6,750.00;6,650.00;6,725.00;6,725.00;9,495,000
Jan 13, 2026;6,600.00;6,700.00;6,600.00;6,700.00;6,700.00;7,063,700
Jan 12, 2026;6,600.00;6,675.00;6,575.00;6,600.00;6,600.00;11,215,000
