Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Jun 2, 2026;1,835.00;1,855.00;1,775.00;1,815.00;1,815.00;6,302,300
May 29, 2026;1,850.00;1,885.00;1,810.00;1,840.00;1,840.00;5,630,400
May 28, 2026;1,850.00;1,850.00;1,850.00;1,850.00;1,850.00;-
May 27, 2026;1,850.00;1,850.00;1,850.00;1,850.00;1,850.00;-
May 26, 2026;1,890.00;1,895.00;1,820.00;1,850.00;1,850.00;6,233,300
May 25, 2026;1,865.00;1,910.00;1,850.00;1,890.00;1,890.00;6,516,000
May 22, 2026;1,820.00;1,875.00;1,820.00;1,860.00;1,860.00;4,761,400
May 21, 2026;1,900.00;1,900.00;1,830.00;1,850.00;1,850.00;12,096,800
May 20, 2026;1,815.00;1,905.00;1,750.00;1,865.00;1,865.00;32,489,400
May 19, 2026;1,780.00;1,815.00;1,760.00;1,815.00;1,815.00;5,658,400
May 18, 2026;1,765.00;1,805.00;1,730.00;1,780.00;1,780.00;8,470,000
May 15, 2026;1,755.00;1,755.00;1,755.00;1,755.00;1,755.00;-
May 14, 2026;1,755.00;1,755.00;1,755.00;1,755.00;1,755.00;-
May 13, 2026;1,770.00;1,775.00;1,705.00;1,755.00;1,755.00;7,106,000
May 12, 2026;1,780.00;1,800.00;1,755.00;1,770.00;1,770.00;9,876,600
May 11, 2026;1,865.00;1,865.00;1,775.00;1,780.00;1,780.00;6,656,300
May 8, 2026;1,820.00;1,865.00;1,815.00;1,835.00;1,835.00;12,596,900
May 7, 2026;1,785.00;1,825.00;1,770.00;1,820.00;1,820.00;10,644,700
May 6, 2026;1,785.00;1,785.00;1,755.00;1,770.00;1,770.00;12,916,200
May 5, 2026;1,780.00;1,790.00;1,750.00;1,785.00;1,785.00;13,853,900
May 4, 2026;1,725.00;1,780.00;1,705.00;1,770.00;1,770.00;16,589,900
Apr 30, 2026;1,770.00;1,770.00;1,705.00;1,705.00;1,705.00;23,363,000
Apr 29, 2026;1,800.00;1,800.00;1,770.00;1,780.00;1,780.00;9,847,800
Apr 28, 2026;1,840.00;1,845.00;1,785.00;1,800.00;1,800.00;12,660,900
Apr 27, 2026;1,815.00;1,850.00;1,815.00;1,840.00;1,840.00;10,660,800
Apr 24, 2026;1,830.00;1,840.00;1,810.00;1,815.00;1,815.00;15,032,500
Apr 23, 2026;1,780.00;1,825.00;1,770.00;1,820.00;1,820.00;10,537,400
Apr 22, 2026;1,780.00;1,785.00;1,750.00;1,760.00;1,760.00;28,230,500
Apr 21, 2026;1,835.00;1,840.00;1,770.00;1,775.00;1,775.00;26,167,200
Apr 20, 2026;1,880.00;1,890.00;1,820.00;1,835.00;1,835.00;14,381,900
Apr 17, 2026;1,905.00;1,920.00;1,865.00;1,875.00;1,875.00;10,729,700
Apr 16, 2026;1,885.00;1,905.00;1,865.00;1,905.00;1,905.00;12,195,900
Apr 15, 2026;1,910.00;1,925.00;1,875.00;1,885.00;1,885.00;11,628,400
Apr 14, 2026;1,910.00;1,940.00;1,900.00;1,910.00;1,910.00;11,535,700
Apr 13, 2026;1,900.00;1,915.00;1,890.00;1,905.00;1,905.00;8,520,900
Apr 10, 2026;1,940.00;1,955.00;1,895.00;1,900.00;1,900.00;18,219,200
Apr 9, 2026;1,990.00;1,995.00;1,925.00;1,940.00;1,940.00;4,207,500
