Date;Open;High;Low;Close ;Adj Close ;Volume
;;;;Close price adjusted for splits.;Adjusted close price adjusted for splits and dividend and/or capital gain distributions.;
Jun 2, 2026;1,510.00;1,525.00;1,490.00;1,500.00;1,500.00;4,016,500
May 29, 2026;1,575.00;1,585.00;1,510.00;1,520.00;1,520.00;6,722,300
May 28, 2026;1,575.00;1,575.00;1,575.00;1,575.00;1,575.00;-
May 27, 2026;1,575.00;1,575.00;1,575.00;1,575.00;1,575.00;-
May 26, 2026;1,635.00;1,635.00;1,575.00;1,575.00;1,575.00;4,364,100
May 25, 2026;1,625.00;1,630.00;1,570.00;1,600.00;1,600.00;2,923,000
May 22, 2026;1,575.00;1,655.00;1,555.00;1,635.00;1,635.00;4,790,300
May 21, 2026;1,620.00;1,625.00;1,565.00;1,570.00;1,570.00;5,296,800
May 20, 2026;1,595.00;1,630.00;1,585.00;1,620.00;1,620.00;5,334,100
May 19, 2026;1,560.00;1,600.00;1,540.00;1,595.00;1,595.00;5,266,300
May 18, 2026;1,605.00;1,605.00;1,530.00;1,560.00;1,560.00;4,008,900
May 15, 2026;1,605.00;1,605.00;1,605.00;1,605.00;1,605.00;-
May 14, 2026;1,605.00;1,605.00;1,605.00;1,605.00;1,605.00;-
May 13, 2026;1,615.00;1,620.00;1,595.00;1,605.00;1,605.00;1,978,100
May 12, 2026;1,620.00;1,635.00;1,590.00;1,615.00;1,615.00;1,753,300
May 11, 2026;1,620.00;1,625.00;1,575.00;1,600.00;1,600.00;2,934,500
May 8, 2026;1,625.00;1,650.00;1,590.00;1,600.00;1,600.00;4,469,500
May 7, 2026;1,600.00;1,640.00;1,600.00;1,625.00;1,625.00;3,021,100
May 6, 2026;1,700.00;1,705.00;1,585.00;1,590.00;1,590.00;5,839,000
May 5, 2026;1,595.00;1,725.00;1,590.00;1,700.00;1,700.00;7,599,600
May 4, 2026;130 Dividend ;;;;;
;Dividends on any given ex-date include regular and any special dividends;;;;;
May 4, 2026;1,545.00;1,625.00;1,525.00;1,595.00;1,595.00;7,347,400
Apr 30, 2026;1,690.00;1,695.00;1,660.00;1,690.00;1,690.00;7,819,500
Apr 29, 2026;1,620.00;1,715.00;1,600.00;1,695.00;1,695.00;12,210,400
Apr 28, 2026;1,625.00;1,670.00;1,610.00;1,615.00;1,615.00;5,863,300
Apr 27, 2026;1,610.00;1,625.00;1,595.00;1,625.00;1,625.00;5,624,100
Apr 24, 2026;1,575.00;1,600.00;1,540.00;1,590.00;1,590.00;3,744,900
Apr 23, 2026;1,580.00;1,580.00;1,555.00;1,565.00;1,565.00;1,841,200
Apr 22, 2026;1,520.00;1,570.00;1,510.00;1,565.00;1,565.00;4,234,200
Apr 21, 2026;1,550.00;1,565.00;1,510.00;1,515.00;1,515.00;886,1
Apr 20, 2026;1,545.00;1,570.00;1,545.00;1,545.00;1,545.00;2,047,500
Apr 17, 2026;1,515.00;1,550.00;1,515.00;1,545.00;1,545.00;1,921,000
Apr 16, 2026;1,515.00;1,525.00;1,500.00;1,510.00;1,510.00;773,4
Apr 15, 2026;1,495.00;1,545.00;1,495.00;1,515.00;1,515.00;1,748,600
Apr 14, 2026;1,500.00;1,515.00;1,495.00;1,495.00;1,495.00;1,914,400
Apr 13, 2026;1,510.00;1,510.00;1,495.00;1,500.00;1,500.00;584,9
Apr 10, 2026;1,525.00;1,525.00;1,490.00;1,510.00;1,510.00;1,425,600
Apr 9, 2026;1,490.00;1,525.00;1,485.00;1,525.00;1,525.00;806
Apr 8, 2026;1,475.00;1,515.00;1,475.00;1,500.00;1,500.00;1,882,700
Apr 7, 2026;1,515.00;1,550.00;1,465.00;1,475.00;1,475.00;1,341,200
Apr 6, 2026;1,535.00;1,545.00;1,515.00;1,515.00;1,515.00;1,032,800
Apr 2, 2026;1,535.00;1,555.00;1,525.00;1,535.00;1,535.00;1,415,500
Apr 1, 2026;1,520.00;1,560.00;1,520.00;1,535.00;1,535.00;1,519,300
Mar 31, 2026;1,530.00;1,545.00;1,520.00;1,520.00;1,520.00;2,437,100
Mar 30, 2026;1,520.00;1,555.00;1,500.00;1,525.00;1,525.00;3,370,800
Mar 27, 2026;1,580.00;1,580.00;1,555.00;1,555.00;1,555.00;2,246,100
Mar 26, 2026;1,600.00;1,620.00;1,555.00;1,570.00;1,570.00;1,651,200
Mar 25, 2026;1,575.00;1,630.00;1,525.00;1,610.00;1,610.00;2,702,300
Mar 17, 2026;1,630.00;1,630.00;1,575.00;1,575.00;1,575.00;2,645,500
Mar 16, 2026;1,580.00;1,640.00;1,550.00;1,635.00;1,635.00;4,844,600
Mar 13, 2026;1,605.00;1,610.00;1,520.00;1,580.00;1,580.00;3,993,100
Mar 12, 2026;1,605.00;1,625.00;1,575.00;1,600.00;1,600.00;5,238,100
Mar 11, 2026;1,530.00;1,605.00;1,530.00;1,595.00;1,595.00;4,188,900
Mar 10, 2026;1,515.00;1,540.00;1,505.00;1,525.00;1,525.00;2,715,800
Mar 9, 2026;1,545.00;1,545.00;1,475.00;1,510.00;1,510.00;4,276,600
Mar 6, 2026;1,585.00;1,585.00;1,525.00;1,545.00;1,545.00;1,249,100
Mar 5, 2026;1,530.00;1,595.00;1,530.00;1,565.00;1,565.00;4,084,200
Mar 4, 2026;1,565.00;1,565.00;1,495.00;1,525.00;1,525.00;7,076,100
Mar 3, 2026;1,650.00;1,650.00;1,560.00;1,570.00;1,570.00;6,028,000
Mar 2, 2026;1,625.00;1,710.00;1,605.00;1,610.00;1,610.00;7,255,700
Feb 27, 2026;1,655.00;1,670.00;1,575.00;1,645.00;1,645.00;3,868,000
Feb 26, 2026;1,700.00;1,700.00;1,615.00;1,660.00;1,660.00;8,468,300
Feb 25, 2026;1,605.00;1,690.00;1,595.00;1,670.00;1,670.00;8,698,900
Feb 24, 2026;1,610.00;1,615.00;1,580.00;1,590.00;1,590.00;4,730,900
Feb 23, 2026;1,660.00;1,680.00;1,610.00;1,610.00;1,610.00;5,543,500
Feb 20, 2026;1,610.00;1,675.00;1,590.00;1,655.00;1,655.00;7,417,500
Feb 19, 2026;1,615.00;1,700.00;1,595.00;1,605.00;1,605.00;9,732,600
Feb 18, 2026;1,560.00;1,660.00;1,550.00;1,615.00;1,615.00;10,847,700
Feb 13, 2026;1,530.00;1,565.00;1,525.00;1,560.00;1,560.00;4,281,900
Feb 12, 2026;1,545.00;1,545.00;1,520.00;1,530.00;1,530.00;1,690,400
Feb 11, 2026;1,525.00;1,550.00;1,510.00;1,550.00;1,550.00;3,600,300
Feb 10, 2026;1,520.00;1,570.00;1,505.00;1,525.00;1,525.00;7,072,600
Feb 9, 2026;1,495.00;1,555.00;1,480.00;1,520.00;1,520.00;3,222,500
Feb 6, 2026;1,510.00;1,515.00;1,475.00;1,485.00;1,485.00;5,051,900
Feb 5, 2026;1,520.00;1,550.00;1,510.00;1,510.00;1,510.00;7,942,700
Feb 4, 2026;1,520.00;1,545.00;1,505.00;1,520.00;1,520.00;2,613,100
Feb 3, 2026;1,500.00;1,530.00;1,485.00;1,520.00;1,520.00;2,699,800
Feb 2, 2026;1,505.00;1,530.00;1,465.00;1,495.00;1,495.00;3,695,600
Jan 30, 2026;1,475.00;1,535.00;1,475.00;1,505.00;1,505.00;6,689,100
